Date,Open Price,High Price,Low Price,Last Price,VWAP (Vol Weighted Average Price),Volume
11/8/16,1.9445,1.95482,1.93677,1.9445,1.9451,94900
11/9/16,1.96496,1.96496,1.86954,1.90049,1.8903,463900
11/10/16,1.9828,1.98796,1.96733,1.97765,1.9747,150700
11/11/16,1.98239,1.98239,1.97466,1.98239,1.9788,47900
11/14/16,1.99783,2.01072,1.98495,1.99268,1.9955,813500
11/15/16,1.98252,1.99799,1.97994,1.99799,1.986,82800
11/16/16,2.0057,2.02117,1.99796,1.99796,2.0023,109300
11/17/16,2.0059,2.0059,1.99301,1.99559,1.9999,85200
11/18/16,2.0058,2.0058,1.99807,1.99807,2,16100
11/21/16,2.00103,2.00619,2.00103,2.00361,2.0036,18700
11/22/16,2.01127,2.01643,2.00869,2.01643,2.0106,71200
11/23/16,2.01893,2.01893,2.01377,2.01377,2.0159,45900
11/24/16,2.01632,2.0189,2.01632,2.0189,2.0175,35100
11/25/16,2.02434,2.02434,2.01919,2.02176,2.0229,60400
11/28/16,2.01906,2.02421,2.01648,2.02163,2.0185,27900
11/29/16,2.01898,2.01898,2.00866,2.00866,2.0109,89000
11/30/16,2.00095,2.019,2.00095,2.01643,2.0097,104100
12/1/16,2.01385,2.01643,2.00353,2.00869,2.0054,165400
12/2/16,2.00126,2.00642,2.00126,2.00126,2.0028,26000
12/5/16,1.99353,2.00642,1.99353,2.00384,2.0001,48900
12/6/16,2.00377,2.01924,2.00119,2.0115,2.0083,15800
12/7/16,2.02163,2.02679,2.02163,2.02679,2.0257,25503
12/8/16,2.04232,2.05263,2.04232,2.05005,2.0477,107500
12/9/16,2.06204,2.06204,2.05431,2.05431,2.0592,268600
12/12/16,2.06505,2.07536,2.06505,2.07278,2.0712,155700
12/13/16,2.08615,2.08873,2.06295,2.06295,2.0755,354100
12/14/16,2.06308,2.08887,2.06308,2.08371,2.0817,111500
12/15/16,2.06696,2.08758,2.06438,2.06953,2.0702,90100
12/16/16,2.06786,2.07558,2.06786,2.07301,2.0746,65400
12/19/16,2.07271,2.07529,2.07271,2.07271,2.0728,26900
12/20/16,2.07048,2.08078,2.07048,2.07306,2.0762,77000
12/21/16,2.0767,2.08186,2.07155,2.07928,2.0795,40200
12/22/16,2.0767,2.0767,2.07155,2.07155,2.074,108800
12/23/16,2.07241,2.07756,2.07241,2.07756,2.0737,13400
12/26/16,2.07241,2.07756,2.07241,2.07756,2.0737,13400
12/27/16,2.07241,2.07756,2.07241,2.07756,2.0737,13400
12/28/16,2.07783,2.08041,2.07783,2.08041,2.0796,38600
12/29/16,2.06311,2.07858,2.06311,2.06311,2.0657,100000
12/30/16,2.06348,2.06864,2.0609,2.06606,2.0621,24800
1/2/17,2.06348,2.06864,2.0609,2.06606,2.0621,24800
1/3/17,2.04226,2.05774,2.04226,2.05516,2.0539,62900
1/4/17,2.05542,2.07605,2.05542,2.06574,2.0702,143700
1/5/17,2.07619,2.07619,2.06845,2.07103,2.0728,138600
1/6/17,2.06582,2.07613,2.06582,2.07098,2.0722,108000
1/9/17,2.07315,2.08605,2.07315,2.08605,2.0836,57488
